Disease_ID,Target_Crop_Name,Disease_Name,Type,Vector_Type,Opt_Temp,Opt_Humidity,Beta_Infection,Dispersal_Sigma_m,Yield_Retained_Infected,Control_Methods,Pruning_Hygiene_Factor,Daily_Recovery_Rate,Model_Family,Latency_Days,Reservoir_Persistence_Days,Vector_Weight,Rain_Splash_Weight,Long_Jump_Rate,Parameter_Source,Evidence_Level,Parameter_Notes,Causal_Agent,Primary_Literature_Basis,Disease_Curation_Status,Parameter_Confidence_Rationale
D_RIC_01,Rice,Rice Blast (Magnaporthe oryzae),Fungal,Wind/Rain,25,90,0.06,300,0.45,Use resistant varieties and balanced nitrogen.\nMaintain water management that avoids drought stress in susceptible stages.\nUse fungicide only for high-risk leaf or neck blast windows.,0.2,0.02,fungal_airborne,5,120,0.05,0.6,0.0012,IRRI/APS rice blast epidemiology literature and humid-leaf-wetness risk studies,medium,Nitrogen and drought stress should modulate susceptibility in the simulator.,Magnaporthe oryzae / Pyricularia oryzae,"Rice blast epidemiology, humidity and varietal resistance literature",Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: major rice disease with strong weather and race effects
D_RIC_02,Rice,Bacterial Leaf Blight,Bacterial,Rain/Wind/Water,28,80,0.06,50,0.5,Use resistant varieties and clean seed.\nAvoid clipping seedlings and operations that wound wet leaves.\nOptimize nitrogen to avoid excessive susceptibility.,0.5,0.01,bacterial_splash,7,180,0.05,0.85,0.0008,IRRI bacterial leaf blight management literature,medium,Flood/water movement and rain splash dominate local spread.,Xanthomonas oryzae pv. oryzae,Bacterial leaf blight rice epidemiology and Xa resistance literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; resistance gene deployment is race-specific
D_RIC_03,Rice,Rice Tungro Disease,Viral,Leafhopper,28,70,0.07,100,0.3,Use resistant varieties and synchronize planting to reduce vector carryover.\nRemove volunteer rice and grassy hosts.\nUse vector control only when early leafhopper pressure is documented.,0.1,0,viral_vector,15,180,0.9,0.05,0.0012,Rice tungro virus and green leafhopper epidemiology literature,medium-low,Vector-mediated viral disease with strong planting-date relevance.,Rice tungro bacilliform virus and Rice tungro spherical virus complex,Rice tungro virus and green leafhopper transmission literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: vector-borne viral complex solid
D_RIC_04,Rice,Sheath Blight,Fungal,Water/Contact,30,90,0.03,10,0.6,Avoid excessive nitrogen and overly dense stands.\nUse water and canopy management to reduce humid contact spread.\nApply fungicide only where lower-sheath lesions progress before heading.,0.3,0.015,soil_reservoir,7,180,0.02,0.6,0.0005,Rhizoctonia solani rice sheath blight and sclerotia literature,medium-low,Short-range/contact and residue reservoir disease; deliberately low dispersal sigma.,Rhizoctonia solani AG1-IA,Rice sheath blight canopy density and humidity literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: soil/residue/canopy disease; no strong varietal immunity assumption
D_SOY_01,Soybean,Asian Soybean Rust,Fungal,Wind,22,95,0.08,1500,0.25,Use resistant or tolerant varieties where available and monitor regional spore alerts.\nApply fungicide protectively when rust is detected nearby and canopy remains wet.\nAvoid late-season canopy humidity when management allows.,0.1,0.025,fungal_airborne,7,60,0.05,0.2,0.003,Phakopsora pachyrhizi long-distance dispersal and soybean rust literature,medium,Windborne jumps are essential; local circular diffusion alone is inappropriate.,Phakopsora pachyrhizi,Asian soybean rust epidemiology and fungicide/resistance literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: airborne rust basis solid; Rpp resistance race-specific
D_SOY_02,Soybean,Soybean Mosaic Virus,Viral,Aphids/Seed,22,60,0.06,50,0.65,Use virus-free seed and resistant varieties.\nManage aphid pressure early and remove volunteer soybean.\nAvoid seed production from symptomatic fields.,0.1,0,viral_vector,14,180,0.85,0.05,0.001,Soybean mosaic virus seed and aphid transmission literature,medium-low,Seedborne introduction and vector spread both matter; no natural recovery assumed.,"Soybean mosaic virus, genus Potyvirus",Soybean mosaic virus seed/aphid transmission literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; seed health matters
D_SOY_03,Soybean,Frogeye Leaf Spot,Fungal,Wind/Rain,25,80,0.035,100,0.75,Use resistant varieties and rotate away from soybean residue.\nUse fungicide only when susceptible variety and wet weather create high risk.\nAvoid saving seed from infected fields.,0.3,0.02,fungal_airborne,10,180,0.05,0.45,0.0008,Cercospora sojina soybean disease management literature,medium-low,Moderate disease impact with residue and seed components.,Cercospora sojina,Frogeye leaf spot soybean residue/humidity literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; fungicide resistance and cultivar resistance vary
D_COF_01,Coffee,Coffee Leaf Rust (Hemileia vastatrix),Fungal,Wind/Rain,22,85,0.035,50,0.55,Use resistant cultivars where available and manage shade to avoid persistent leaf wetness.\nApply fungicide or biocontrol only when rust risk is high and economic threshold is met.\nUse pruning to remove heavily affected canopy while accounting for lost productive leaf area.,1.2,0.015,fungal_airborne,25,120,0.05,0.35,0.001,"Coffee rust temperature, leaf wetness and dispersal literature",medium,Requires free water/leaf wetness and suitable temperature; pruning has both hygiene benefit and yield cost.,Hemileia vastatrix,"Coffee leaf rust epidemiology, shade, defoliation and resistant cultivar literature",Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: strong literature basis; rust races evolve and can overcome resistance
D_COF_02,Coffee,Coffee Berry Disease,Fungal,Rain/Wind,18,95,0.04,30,0.35,Use resistant cultivars and prune to improve aeration.\nRemove infected berries where feasible.\nProtect susceptible berry stages during cool wet periods.,1.3,0.015,bacterial_splash,7,120,0.05,0.7,0.0008,Colletotrichum kahawae coffee berry disease literature,medium-low,Splash-dominated berry-stage disease; model family chosen for local dispersal behavior.,Colletotrichum kahawae,Coffee berry disease resistance and African epidemiology literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; CBD relevance strongest in African arabica regions
D_COF_03,Coffee,Coffee Bacterial Blight,Bacterial,Rain/Wind,22,90,0.045,40,0.45,Avoid pruning or harvesting during wet conditions.\nUse windbreaks where wind-driven rain is recurrent.\nRemove severely affected shoots while accounting for canopy loss.,1,0.008,bacterial_splash,7,120,0.05,0.8,0.0008,Coffee bacterial blight and rain-splash disease management literature,medium-low,"Rain and wind injury increase risk; recovery means inactive lesions, not plant immunity.",Pseudomonas syringae pv. garcae,Coffee bacterial blight literature and cool/wet highland disease reports,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent generally accepted; coefficients low-medium confidence
