Disease_ID,Target_Crop_Name,Disease_Name,Disease_Type,Vector_Type,Region_Scope,Countries_or_Zones,Baseline_Pressure_0_1,Peak_Season,Climate_Drivers,Host_or_Vector_Drivers,Literature_Source,Evidence_Level,Update_Cadence,Notes
D_COC_02,Cocoa,Cocoa Swollen Shoot Virus (CSSV),Viral,Mealybug,Sub-Saharan Africa literature prior,West African cocoa zones with CSSVD history,0.66,Persistent risk where infected trees/mealybug-ant complexes occur,Mealybug vectors; infected trees; movement of planting material,Mealybug,CSSV mealybug transmission and cocoa eradication program literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COC_03,Cocoa,Witches Broom,Fungal,Wind,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind,Moniliophthora perniciosa cocoa disease literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_WHT_01,Wheat,Yellow Rust (Stripe Rust),Fungal,Wind,Sub-Saharan Africa literature prior,African wheat highlands and rust corridors,0.60,Cool humid rust-conducive windows,Windborne spores; susceptible varieties; regional rust races,Wind,Puccinia striiformis epidemiology and wheat rust management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_WHT_02,Wheat,Septoria Tritici Blotch,Fungal,Rain/Splash,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Rain/Splash,Zymoseptoria tritici latent-period and rain-splash literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_WHT_03,Wheat,Fusarium Head Blight (FHB),Fungal,Rain/Wind,Sub-Saharan Africa literature prior,Humid cereal belts and crop-residue systems,0.50,Flowering under warm wet weather,Maize/wheat residues; warm humidity during flowering,Rain/Wind,Fusarium head blight flowering-risk and residue literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_WHT_04,Wheat,Stem Rust (Ug99 lineage risk),Fungal,Wind,Sub-Saharan Africa literature prior,African wheat highlands and rust corridors,0.60,Cool humid rust-conducive windows,Windborne spores; susceptible varieties; regional rust races,Wind,Wheat stem rust/Ug99 surveillance and rust epidemiology literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_RIC_01,Rice,Rice Blast (Magnaporthe oryzae),Fungal,Wind/Rain,Sub-Saharan Africa literature prior,Rainfed and irrigated rice systems across Sub-Saharan Africa,0.72,Humid tillering to panicle stages,Leaf wetness; nitrogen excess; susceptible cultivars,Wind/Rain,IRRI/APS rice blast epidemiology literature and humid-leaf-wetness risk studies; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_RIC_02,Rice,Bacterial Leaf Blight,Bacterial,Rain/Wind/Water,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.50,Rainy season or humid canopy periods,Rain splash; wounds; humid canopy; contaminated planting material,Rain/Wind/Water,IRRI bacterial leaf blight management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_RIC_03,Rice,Rice Tungro Disease,Viral,Leafhopper,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.58,Vector-favourable periods and early crop stages,Vector pressure; infected planting material or reservoirs; susceptible host,Leafhopper,Rice tungro virus and green leafhopper epidemiology literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_RIC_04,Rice,Sheath Blight,Fungal,Water/Contact,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Water/Contact,Rhizoctonia solani rice sheath blight and sclerotia literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_SOY_01,Soybean,Asian Soybean Rust,Fungal,Wind,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind,Phakopsora pachyrhizi long-distance dispersal and soybean rust literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_SOY_02,Soybean,Soybean Mosaic Virus,Viral,Aphids/Seed,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.58,Vector-favourable periods and early crop stages,Vector pressure; infected planting material or reservoirs; susceptible host,Aphids/Seed,Soybean mosaic virus seed and aphid transmission literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_SOY_03,Soybean,Frogeye Leaf Spot,Fungal,Wind/Rain,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind/Rain,Cercospora sojina soybean disease management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COF_01,Coffee,Coffee Leaf Rust (Hemileia vastatrix),Fungal,Wind/Rain,Sub-Saharan Africa literature prior,"Coffee areas of East, Central and West Africa where susceptible cultivars are grown",0.64,Humid periods after leaf flush,Leaf wetness; moderate temperatures; susceptible cultivars,Wind/Rain,"Coffee rust temperature, leaf wetness and dispersal literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available",medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COF_02,Coffee,Coffee Berry Disease,Fungal,Rain/Wind,Sub-Saharan Africa literature prior,Highland Arabica zones of East/Central Africa,0.56,Cool wet flowering/berry periods,Wet berries; cool humid conditions; susceptible Arabica,Rain/Wind,Colletotrichum kahawae coffee berry disease literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COF_03,Coffee,Coffee Bacterial Blight,Bacterial,Rain/Wind,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.50,Rainy season or humid canopy periods,Rain splash; wounds; humid canopy; contaminated planting material,Rain/Wind,Coffee bacterial blight and rain-splash disease management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
