Crop_ID,Crop_Name,Variety,Type,Cycle_Days,GDD_Maturity,Cycle_DD,T_Base,T_Opt,T_Max,RUE_g_MJ,Max_LAI,Harvest_Index,Kc_Mid,Root_Depth_Max_m,Critical_Soil_N_kg_ha,Resistance_Score,Default_Density,Harvest_Rain_Limit_mm,Max_Irr_Event_mm,Pruning_Biomass_Removal_Pct,Pruning_LAI_Removal_Pct,Per_Tree_Wood_Capacity_kg,p_factor,end_of_early_stage,end_of_maturation_stage,Scientific_Name,Variety_Status,Parameter_Source,Evidence_Level,Parameter_Notes,Adaptation_Zone,Documented_Traits,Resistance_Profile,Trait_Source_URL,Curation_Date,Curation_Status
C_SOY_01,Soybean,TGx 1448-2E (IITA promiscuous-nodulating line),Annual,115,1400,1400,10,28,35,1.8,4.5,0.38,1.1,1.2,50,0.35,300000,40,40,0,0,0,0.5,0,0,Glycine max,IITA TGx soybean line,IITA TGx soybean literature; FAO-56 and DSSAT/CROPGRO soybean priors,medium,N fixation is represented indirectly by lower mineral N demand until a full legume module is added.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_COF_01,Coffee,Arabica Typica,Perennial,365,0,0,15,21,30,1.15,4,0.25,0.95,1.5,90,0.85,1600,40,80,0.15,0.25,15,0.6,3,5,Coffea arabica,Documented arabica cultivar group,Coffee physiology and coffee rust literature; FAO-56 coffee priors,medium-low,Rust susceptible reference; perennial pruning and seasonality are explicit.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_COF_02,Coffee,Robusta Nganda,Perennial,365,0,0,18,26,34,1.35,4.5,0.3,1,2,110,0.45,1111,40,80,0.15,0.25,18,0.6,3,5,Coffea canephora,Documented robusta botanical group,Coffee physiology literature; FAO-56 coffee priors,medium-low,"More heat-tolerant robusta reference, with lower rust susceptibility prior than Typica.",,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_CAS_03,Cassava,IITA-TMS-IBA980581,Annual,365,1700,1700,14,28,37,2.35,4.7,0.56,1.1,1.8,80,0.30,10000,120,40,0,0,0,0.5,0,0,Manihot esculenta,Released IITA improved cassava variety,IITA/Nigerian cassava variety release and CMD/CBSD screening literature; FAO-56 and AquaCrop cassava priors for generic crop physiology,medium-low,Added only as documented IITA improved germplasm; physiological coefficients remain bounded crop-model priors until local calibration.,Humid/sub-humid West African cassava systems; validate locally before recommendation,Improved cassava germplasm; CMD-oriented breeding background; high-yield/dry-matter literature references; CBSD response must be locally checked,"CMD: resistant/tolerant prior; CBSD: uncertain to moderate, do not claim high resistance; bacterial/fungal cassava diseases: no strong variety-specific claim",https://www.iita.org/; scientific cassava breeding literature on IITA-TMS-IBA lines,2026-06-22,added after conservative literature review; disease-specific uncertainty retained
C_CAS_04,Cassava,NASE 14,Annual,365,1700,1700,14,28,37,2.30,4.6,0.55,1.1,1.8,80,0.32,10000,120,40,0,0,0,0.5,0,0,Manihot esculenta,Ugandan released cassava variety,Uganda NARO/IITA cassava CMD/CBSD screening literature; cassava seed-system publications,medium-low,NASE 14 retained as an East African documented cassava option; local CBSD pressure and seed health remain critical.,East African cassava systems where NASE materials are documented; not a universal recommendation,Documented improved cassava line used in CMD/CBSD literature; vegetative seed health remains decisive,"CMD: resistant/tolerant prior; CBSD: partial/tolerant prior, not immune; roguing never automatic",https://www.iita.org/; NARO/IITA cassava disease screening literature,2026-06-22,added with medium-low confidence because local pathogen strains matter
C_MAI_03,Maize,ZM521 (CIMMYT drought-tolerant OPV),Annual,105,1450,1450,8,30,40,3.7,5.5,0.49,1.2,1.5,160,0.48,53000,50,50,0,0,0,0.55,0,0,Zea mays,CIMMYT-derived drought-tolerant OPV,"CIMMYT DTMA drought-tolerant maize literature; FAO-56, DSSAT and APSIM maize priors",medium-low,Drought-tolerant maize option; disease resistance is not assumed beyond documented DTMA stress breeding background.,Rainfed eastern/southern African maize systems where ZM materials are used; validate seed availability locally,Drought-tolerant open-pollinated maize germplasm; medium maturity; no blanket disease immunity claim,Drought: improved tolerance prior; MSV/GLS/NCLB/MLN: no high-resistance claim unless local catalogue confirms,https://www.cimmyt.org/; DTMA maize variety literature,2026-06-22,added as conservative drought-tolerant maize prior
C_MAI_04,Maize,ZM523 (CIMMYT drought-tolerant OPV),Annual,110,1500,1500,8,30,40,3.8,5.7,0.50,1.2,1.5,160,0.46,55000,50,50,0,0,0,0.55,0,0,Zea mays,CIMMYT-derived drought-tolerant OPV,"CIMMYT DTMA drought-tolerant maize literature; FAO-56, DSSAT and APSIM maize priors",medium-low,Similar use class to ZM521 but slightly longer cycle; disease scores remain cautious.,Rainfed sub-Saharan maize systems where ZM materials are documented,Drought-tolerant OPV; medium maturity; yield stability under managed stress reported in DTMA literature,"Drought: improved tolerance prior; foliar/viral disease resistance: moderate/unknown, not high",https://www.cimmyt.org/; DTMA maize variety literature,2026-06-22,added as conservative drought-tolerant maize prior
C_COC_03,Cocoa,Scavina 6 (SCA 6),Perennial,365,0,0,18,25,32,1.20,4.7,0.11,1.05,1.5,100,0.35,1111,100,80,0.2,0.3,24,0.6,3,5,Theobroma cacao,Documented cacao clone/resistance donor,Cacao witches broom and Phytophthora resistance screening literature; International Cocoa Genebank/Trinidad and cocoa breeding literature,medium,SCA 6 added mainly as disease-resistance donor; yield quality must be checked by region and clone availability.,Humid cacao systems where SCA-derived resistance donors are relevant; clone performance is region-specific,Classic resistance donor in witches broom/cacao breeding literature; partial resistance context for Phytophthora screening,Witches broom: high documented donor resistance; black pod: partial/context-dependent; CSSV: no immunity claim,https://www.icco.org/; cacao disease-resistance literature including SCA clones,2026-06-22,added with disease-donor status clearly separated from universal cultivar recommendation
C_COC_04,Cocoa,TSH 565 (Trinidad Selected Hybrid clone),Perennial,365,0,0,18,25,32,1.32,5.1,0.13,1.05,1.5,100,0.48,1111,100,80,0.2,0.3,27,0.6,3,5,Theobroma cacao,Documented Trinidad-selected cacao clone,Trinidad Selected Hybrid cacao clone literature; cocoa disease screening and physiology priors,medium-low,Added as named clone with documented breeding background; disease response is partial/context-dependent.,Cacao systems using Trinidad-derived clones; validate with national clone recommendations,Named TSH clone used in cacao breeding and agronomy literature; productivity/disease response vary by environment,Black pod: partial/moderate prior only; witches broom: not treated as SCA-level resistance; CSSV: no immunity claim,https://www.icco.org/; cacao clone evaluation literature,2026-06-22,added with medium-low confidence and explicit local-validation note
C_WHT_02,Wheat,Kingbird (CIMMYT bread wheat),Annual,120,1800,1800,0,20,32,2.85,5.6,0.46,1.15,1.5,150,0.30,3000000,30,50,0,0,0,0.55,0,0,Triticum aestivum,CIMMYT-derived bread wheat variety,"CIMMYT/Borlaug Global Rust Initiative wheat rust literature; FAO-56, DSSAT and APSIM wheat priors",medium,Added as rust-resistance-oriented wheat option; local rust race composition remains decisive.,Wheat systems needing stem/stripe rust risk screening; validate altitude and heat stress locally,CIMMYT bread wheat germplasm used in rust resistance contexts; semi-dwarf high-yield wheat physiology prior,Stem rust/Ug99 lineage: stronger prior than generic wheat; yellow rust: moderate prior; FHB: no high-resistance claim,https://www.globalrust.org/; https://www.cimmyt.org/; wheat rust literature,2026-06-22,added with rust-specific resistance emphasis
C_WHT_03,Wheat,Danda’a (Ethiopian bread wheat),Annual,115,1725,1725,0,20,32,2.75,5.4,0.44,1.15,1.5,150,0.34,3000000,30,50,0,0,0,0.55,0,0,Triticum aestivum,Released Ethiopian bread wheat variety,"Ethiopian/CIMMYT rust-resistant wheat adoption literature; FAO-56, DSSAT and APSIM wheat priors",medium-low,Added as East African wheat option; not a universal rust-proof variety.,Ethiopian/East African highland wheat systems; validate local adaptation and rust race pressure,Documented rust-resistant adoption context in Ethiopia; maturity and crop model parameters remain priors,Stem rust/yellow rust: improved prior versus susceptible checks; Septoria/FHB: no high-resistance claim,https://www.cimmyt.org/; Ethiopian wheat rust adoption literature,2026-06-22,added with medium-low confidence due to race-by-location effects
C_RIC_02,Rice,NERICA 4 (upland),Annual,95,1250,1250,10,30,38,2.1,5.4,0.47,1.12,0.8,120,0.40,250000,60,80,0,0,0,0.35,0,0,Oryza sativa,AfricaRice upland NERICA variety,"AfricaRice NERICA documentation; Dingkuhn et al. upland rice progeny literature; FAO-56, DSSAT and APSIM rice priors",medium,AfricaRice documents NERICA 4 as widely adopted upland variety tolerant to drought and phosphorus deficiency; disease resistance not treated as universal.,Rainfed upland African rice ecologies,Early-maturing upland NERICA; drought and phosphorus-deficiency tolerance documented by AfricaRice,"Drought/P deficiency: improved tolerance; blast: moderate/unknown for local races, not high unless local screening confirms",https://www.africarice.org/nerica,2026-06-22,added from AfricaRice official NERICA documentation
C_RIC_03,Rice,NERICA-L 19 (rainfed lowland),Annual,120,1550,1550,10,30,38,2.25,6.0,0.50,1.2,0.8,120,0.32,250000,60,80,0,0,0,0.25,0,0,Oryza sativa,AfricaRice rainfed lowland NERICA-L variety,"AfricaRice NERICA documentation; rainfed lowland NERICA breeding literature; FAO-56, DSSAT and APSIM rice priors",medium,"AfricaRice describes NERICA-L 19 as tolerant to iron toxicity, drought and blast with 5-7 t/ha potential; local validation still needed.",Rainfed lowland African rice ecologies with iron toxicity/drought risk,"NERICA-L 19: yield potential 5-7 t/ha, tolerance to iron toxicity, drought and blast reported by AfricaRice",Blast: stronger prior than IR64 in African rainfed lowland context; BLB/tungro/sheath blight: no high-resistance claim,https://www.africarice.org/nerica,2026-06-22,added from AfricaRice official NERICA documentation
C_RIC_04,Rice,IR36 (IRRI semi-dwarf),Annual,105,1370,1370,10,30,38,2.2,5.8,0.50,1.2,0.8,120,0.34,250000,60,80,0,0,0,0.22,0,0,Oryza sativa,IRRI semi-dwarf rice variety,"IRRI/Khush rice variety literature; FAO-56, DSSAT and APSIM rice priors",medium,IR36 historically documented as rapid-maturing and resistant to several major pests/diseases; local disease races can overcome resistance.,Irrigated/managed rice systems where IRRI semi-dwarf germplasm is suitable,Rapid maturity around 105 days; broad historical pest/disease resistance in IRRI literature,Historical broad pest/disease resistance: improved prior; modern local blast/BLB/tungro races require validation,https://www.irri.org/; IRRI IR36 literature,2026-06-22,added as historical IRRI benchmark with explicit race-evolution caution
C_SOY_02,Soybean,TGx 1835-10E (IITA promiscuous-nodulating line),Annual,110,1350,1350,10,28,35,1.8,4.4,0.38,1.1,1.2,45,0.38,300000,40,40,0,0,0,0.5,0,0,Glycine max,IITA TGx soybean line,IITA TGx soybean promiscuous-nodulation and tropical soybean literature; FAO-56 and DSSAT/CROPGRO soybean priors,medium-low,Added as IITA TGx line; N fixation represented only indirectly until a legume nitrogen module is implemented.,Tropical African soybean systems using IITA TGx germplasm; inoculation response varies by rhizobia and soil,Promiscuous nodulation background; tropical soybean adaptation,Asian soybean rust/SMV/Frogeye: no high-resistance claim; nitrogen stress: lower mineral N demand prior,https://www.iita.org/; IITA TGx soybean literature,2026-06-22,added conservatively; disease resistance not over-claimed
C_SOY_03,Soybean,TGx 1987-62F (IITA improved soybean line),Annual,105,1300,1300,10,28,35,1.85,4.6,0.39,1.1,1.2,45,0.36,300000,40,40,0,0,0,0.5,0,0,Glycine max,IITA improved soybean line,IITA improved soybean line literature; FAO-56 and DSSAT/CROPGRO soybean priors,medium-low,Added as documented IITA improved soybean germplasm; local rust/virus screening remains required.,Tropical African soybean systems; validate maturity group locally,Improved tropical soybean germplasm; maturity and N-demand priors adjusted conservatively,Disease profile: moderate/unknown; no false rust immunity; nitrogen stress: lower mineral N demand prior,https://www.iita.org/; tropical soybean variety literature,2026-06-22,added with medium-low confidence pending regional trial data
C_COF_03,Coffee,Ruiru 11,Perennial,365,0,0,15,22,30,1.25,4.3,0.28,0.95,1.5,95,0.20,2500,40,80,0.15,0.25,16,0.6,3,5,Coffea arabica,Kenyan released arabica hybrid/composite variety,World Coffee Research variety catalog; Kenyan Coffee Research/KALRO literature; FAO-56 coffee priors,high,"WCR documents Ruiru 11 as high-yielding, compact, rust tolerant/highly resistant and CBD resistant; AEF gives it the strongest coffee disease-resistance prior among coffee entries.",Kenyan/East African arabica systems; altitude thresholds follow WCR qualitative guidance,Dwarf/compact; very high yield potential; CBD resistant; coffee leaf rust highly resistant/tolerant in WCR catalog,Coffee leaf rust: highly resistant/tolerant prior; coffee berry disease: resistant; bacterial blight: no high-resistance claim,https://varieties.worldcoffeeresearch.org/varieties/ruiru-11,2026-06-22,added from WCR catalog with high evidence for relative resistance traits
C_COF_04,Coffee,Batian,Perennial,365,0,0,15,22,30,1.30,4.4,0.30,0.95,1.5,95,0.30,1600,40,80,0.15,0.25,18,0.6,3,5,Coffea arabica,Kenyan released arabica composite variety,World Coffee Research variety catalog; Kenyan Coffee Research/KALRO literature; FAO-56 coffee priors,high,"WCR documents Batian as high yielding, CBD resistant and rust tolerant/intermediate; it is not scored as more rust-resistant than Ruiru 11.",Kenyan/East African arabica systems; tall plant architecture and altitude must be considered,Tall; high yield potential; good cup quality; CBD resistant; coffee leaf rust intermediate resistance/tolerance,Coffee leaf rust: intermediate/tolerant prior; coffee berry disease: resistant; bacterial blight: no high-resistance claim,https://varieties.worldcoffeeresearch.org/varieties/batian,2026-06-22,added from WCR catalog with high evidence for relative coffee disease traits
C_COF_05,Coffee,S795 Selection 3,Perennial,365,0,0,15,22,30,1.20,4.1,0.27,0.95,1.5,90,0.62,1600,40,80,0.15,0.25,16,0.6,3,5,Coffea arabica,Indian arabica selection,World Coffee Research variety catalog; S795 coffee variety literature; FAO-56 coffee priors,high,"Although older literature often describes S795 as rust-resistant historically, WCR current catalog rates leaf-rust resistance low/susceptible; AEF follows the current WCR relative ranking.",Indian/Southeast Asian arabica systems and comparable highland sites; validate rust races locally,Tall; high yield potential; very good quality; WCR currently rates coffee leaf rust low resistance/susceptible,Coffee leaf rust: low resistance/susceptible in current WCR catalog; CBD: unknown/not central; do not treat as resistant in AEF,https://varieties.worldcoffeeresearch.org/varieties/s795,2026-06-22,added and deliberately not over-scored for rust resistance
